vendor name|event description|summary
Hulu|Comcast and Disney are set to begin discussions on Hulu's ownership fate on September 30, months earlier than the initial January 2024 deadline. The talks will include an appraisal process, as per the original 2019 agreement, where Comcast can force Disney to buy or Disney can require Comcast to sell the remaining 33% stake in Hulu at a guaranteed minimum total equity value of $27.5 billion. Comcast CEO Brian Roberts called Hulu a great streaming business, second only to Netflix. The deal between Disney and Comcast sets up the first-ever sale of a streaming service of this magnitude. The valuation of Hulu will consider factors such as the platform's content, which is largely supplied by Disney, and the bundling of Hulu with fellow Disney services Disney+ and ESPN+ to lower churn. Synergies could be worth a couple billion dollars to a buyer of Hulu. Comcast's NBCUniversal has removed content, including series like 'Saturday Night Live,' from Hulu and put it on its own streaming platform Peacock. Disney, on the other hand, has added Hulu content to Disney+ as part of its push towards offering a one-app experience. This move aims to attract more subscribers and advertising revenue, with the one-app platform expected to be rolled out by the end of this year.| Comcast and Disney are set to begin discussions on Hulu's ownership fate on September 30, months earlier than the initial January 2024 deadline . The valuation of Hulu will consider factors such as the platform's content, which is largely supplied by Disney, and the bundling of Hulu with fellow Disney services Disney+ and ESPN+ to lower churn .
Hyundai|Hyundai, the second-largest carmaker in India, is committed to maintaining its diesel variants despite other carmakers abandoning diesel due to regulatory and tax pressures. Hyundai's COO, Tarun Garg, highlighted the company's success with diesel variants and the strong demand for them, especially for larger SUVs. Hyundai plans to expand its diesel portfolio with the introduction of more diesel-powered vehicles. Buyers of large SUVs prefer diesel engines due to their superior fuel efficiency, offering around 30% better mileage compared to petrol counterparts. Diesel engines also provide robust initial torque, making them effective for off-roading. These factors contribute to the enduring popularity of diesel, especially for large off-road vehicles. Despite a decrease in Hyundai's diesel share from 26% to 20% since last year, the demand for diesel vehicles remains strong in specific states. This dispels the notion of a widespread withdrawal from diesel fuel. Hyundai's commitment to diesel reflects its dedication to meeting the diverse needs of its customer base.| Hyundai plans to expand its diesel portfolio with the introduction of more diesel-powered vehicles . Buyers of large SUVs prefer diesel engines due to their superior fuel efficiency, offering around 30% better mileage compared to petrol counterparts . Diesel engines also provide robust initial torque, making them effective for off-roading .
Hyundai Motor|Hyundai Motor has launched its first all-electric model, the Ioniq 5 N, in the domestic market. The Ioniq 5 N comes with an 84 kWh battery pack and can accelerate from zero to 100 kph in 3.4 seconds. Priced at $58,000, it can travel about 350 kms on a single charge. Hyundai plans to invest 109.4 trillion won by 2032 to secure a leading position in the global future mobility market. The company aims to sell 1 million pure electric models by 2030. Hyundai is also building dedicated EV factories in the US and Korea to meet the growing demand. Hyundai's Ioniq 5 and Ioniq 6 are built on the E-GMP platform, with the Ioniq 7 set to be released next year. Hyundai's independent Genesis and Kia Corp.'s EV6 and EV9 SUVs also share the E-GMP platform. This expansion of the EV platform allows Hyundai to offer a range of electric vehicles across different segments.| The Ioniq 5 N comes with an 84 kWh battery pack and can accelerate from zero to 100 kph in 3.4 seconds . Priced at $58,000, it can travel about 350 kms on a single charge . Hyundai aims to sell 1 million pure electric models by 2030 .
IBM|IBM and Indian Bank have partnered to deploy new front-end banking applications and provide the bank with safe compute infrastructure. The collaboration aims to consolidate the bank's Front Branch Servers for better manageability and availability at both Data Centres (DC) and Disaster Recovery (DR) centers in Mumbai and Chennai. The bank plans to run its CBS workloads on the latest generation of IBM Power servers, enabling more efficient utilization of compute resources and reducing the total cost of ownership. IBM proposed a hybrid cloud approach for all AIX workloads to boost agility and meet Indian Bank's digital infrastructure needs. The approach includes a combination of Capex and Opex model for consumption of compute resources, providing Infrastructure-as-a-Service (IaaS) capabilities. It aims to build a private cloud using available resources, create a single pool of processors across DC and DR, and enable services equivalent to a pay-as-you-grow model. As part of the collaboration, Indian Bank will be using IBM PowerSC for all AIX endpoints to improve security and support compliance audits for their private cloud. Additionally, the bank will utilize IBM PowerVC for simplified virtualization management, cloud deployments, workload image management, and resource optimization for IBM AIX Servers. Tech companies in England, such as Virgin Media O2 and BAE Systems, are increasingly offering apprenticeships as an alternative route for school leavers who do not want to or cannot go to university. These apprenticeships provide opportunities for individuals to learn and apply skills in real-world settings, such as cyber security and manufacturing engineering. IBM is actively recruiting individuals without degrees to create a more diverse workforce. The company recognizes that academic qualifications do not necessarily reflect a person's potential and transferable skills. By removing degree requirements from many job listings, IBM aims to provide equal opportunities for career growth and development. The tech industry is shifting its focus from academic qualifications to skills and experience. Companies like IBM are realizing that degrees are not always necessary for certain tech roles, such as software quality assurance. Instead, they are looking for individuals with relevant skills, such as teamwork, client focus, and communication, which can be acquired through alternative learning paths like bootcamps and self-guided courses.| IBM and Indian Bank have partnered to deploy new front-end banking applications and provide the bank with safe compute infrastructure . The bank plans to run its CBS workloads on the latest generation of IBM Power servers .
IDBI Bank|The decision to appoint an asset valuer for IDBI Bank has caused a stir among the big four accounting firms. The qualification criteria set out in the request for proposal (RFP) document state that only valuers registered with the Insolvency and Bankruptcy Board of India (IBBI) are eligible for applying. The big four accounting firms, Deloitte, EY, PwC, and KPMG, could potentially be eliminated from the selection process due to not meeting the turnover threshold or not using their IBBI-registered valuer entities for previous valuations. RBSA Valuation Advisors, a potential contender for the appointment of a valuer for IDBI Bank, was disqualified for a period of six months earlier this year due to flaws in its valuation of Videocon Industries. However, its disqualification will end on September 19, just days ahead of the deadline for submission of bids. This could make RBSA Valuation Advisors the only serious contender for the job. KPMG, one of the big four accounting firms, is conflicted in the selection process as it is already the transaction advisor for the disinvestment of IDBI Bank. This conflict of interest could potentially disqualify KPMG from being considered for the appointment of a valuer. IDBI Bank has filed an appeal with the appellate tribunal to challenge the National Company Law Tribunal's approval for the Sony-Zee merger. This move could potentially delay the big-ticket deal, which has already been approved by stock exchanges and the Competition Commission of India. The appeal has been served on behalf of IDBI Bank before the National Company Law Appellate Tribunal. IDBI Bank has successfully admitted its petition to initiate insolvency proceedings against Zee Entertainment Enterprise Ltd (ZEEL) over unpaid dues of Rs 150 crore. Last month, the National Company Law Appellate Tribunal (NCLAT) had admitted IDBI Bank's petition. The matter is scheduled for a hearing on October 11. The National Company Law Tribunal (NCLT) has rejected IDBI Bank's objection to the composite scheme between ZEEL, Culver Max Entertainment, Sony, and Bangla Entertainment. The NCLT found that the debt is disputed, leading to the rejection of IDBI Bank's objection. In the objection to a scheme, both the objectors and the tribunal have a limited role and scope.| The decision to appoint an asset valuer for IDBI Bank has caused a stir among the big four accounting firms . The qualification criteria set out in the request for proposal (RFP) document state that only valuers registered with the Insolvency and Bankruptcy Board of India (IBBI) are eligible for applying . Deloitte, EY, PwC, and K
IRS|As borrowers prepare to resume paying their federal student loans, the IRS is reminding employers that they can help by offering workers up to $5,250 tax-free as part of their educational assistance benefits. This provision, which allows employers to offer tax-free subsidies to offset the payment of principal and interest on workers' federal and private student loans, is set to expire on December 31, 2025. According to the Society of Human Resource Management's employer benefits survey, only 8% of organizations offer student loan benefits to employees, while 48% offer tuition assistance. The reasons for this discrepancy are unclear, but lawmakers are concerned about the lack of public awareness regarding tax-advantaged employer benefits for student loan payments. The IRS has announced a free webinar on September 14 to educate employers about the provision that allows them to offer tax-free educational assistance benefits. IRS Commissioner Danny Werfel emphasized the importance of employers not overlooking this option, as it can help attract and retain workers who are burdened by student loan debt.| Employers can offer tax-free subsidies to offset the payment of principal and interest on workers' federal and private student loans . This provision is set to expire on December 31, 2025 . Only 8% of organizations offer student loan benefits to employees; 48% offer tuition assistance .
Illumina|Illumina's board has named Jacob Thaysen as the company's new CEO. Thaysen, a longtime executive at medical devices firm Agilent, will assume the role on September 25. This appointment comes after a proxy fight with activist investor Carl Icahn, which led to the resignation of Illumina's former CEO Francis deSouza. Following the announcement of Jacob Thaysen as the new CEO, shares of Illumina fell more than 4%. The company's market value has fallen from around $75 billion in August 2021 to roughly $25 billion. The appointment of new leadership is seen as a potential opportunity for Illumina to recover from a challenging period. Illumina is facing two orders seeking to block its acquisition of Grail. One order is from the European Commission, while the other is from the U.S. Federal Trade Commission. The company has appealed both orders and expects final decisions in late 2023 or early 2024. Jacob Thaysen will join Illumina as CEO while the legal battle continues. Carl Icahn, a billionaire activist investor, expressed his support for Illumina's new CEO, Jacob Thaysen. This comes as a relief for the company, which is trying to rebound from a bitter proxy fight with Icahn. Icahn, who continues to own a small stake in Illumina, launched a proxy battle over the company's decision to acquire cancer test developer Grail without approval from antitrust regulators. Illumina's former CEO, Francis deSouza, resigned after a proxy battle with Carl Icahn, despite securing enough votes to stay. Icahn was a staunch critic of deSouza and blamed him for the significant decline in Illumina's share price due to the questionable acquisition of Grail. The company's market value has fallen from around $75 billion to roughly $25 billion since closing the Grail deal. Jacob Thaysen, previously at medical devices firm Agilent Technologies, will step in as Illumina's new CEO on September 25. Thaysen has a successful track record, having doubled the operating profit of Agilent Technologies' largest analytical-lab unit. Investors will be closely watching how Thaysen approaches the Grail business and whether he can rebuild the market value that the company lost.| Jacob Thaysen named as Illumina's new CEO . The appointment comes after a proxy fight with activist investor Carl Icahn led to the resignation of Illumina CEO Francis deSouza . The company's market value has fallen from $75 billion in August 2021 to $25 billion .
India|Former Reserve Bank of India Governor C Rangarajan lauded India's ascent to become the world's fifth-largest economy, hailing it as an impressive achievement. However, he underscored the urgent need for India to accelerate its economic growth to improve the per capita income of the nation. Post Covid-19 and the Russia-Ukraine war, there is a need to lay down a clear roadmap for India's future development, according to C Rangarajan. He emphasized that raising the growth rate is the first and foremost task, and if India achieves a seven percent rate of growth continuously over the next two decades, it can make a substantial change to the level of the economy and almost touch the status of a developed economy. C Rangarajan stressed the importance of India absorbing new technologies and skilled manpower to support its development. He acknowledged that while new technologies may lower employment elasticity with respect to output, employment must come out of increased growth. He also highlighted the need for a multidimensional development strategy, including strong export and manufacturing sectors, and emphasized that growth without equity is not sustainable. India's power ministry has directed all power plants to import 4% of their overall coal requirement for blending with domestic coal until March next year. This move is aimed at maintaining stocks amid higher consumption and to meet the country's power demand. The directive comes as India witnessed its driest August in a century, resulting in a peak power shortage of 10.7 GW. India's power and renewable energy minister, R K Singh, will chair a meeting on Monday to discuss reviving the 25 GW of gas-based power capacity that is either idled or underutilized due to lack of fuel. The meeting aims to find solutions to the challenge of meeting nighttime power supply needs, as the country has limited coal-based capacity and low generation by wind and hydro power plants. India is facing difficulties in meeting nighttime power demand due to increased consumption, hot weather conditions, anticipated rise in industrial activity, and high agricultural demand. The country's maximum power demand reached 240 GW, and the power shortage touched 10.7 GW. To address this, the power ministry has extended the mandate for utilities to import coal until March next year. India's Union Power Minister, R K Singh, announced that India may add 25 GW to 30 GW of thermal electricity generation capacity in addition to the 50 GW already under construction to meet the rising demand. He highlighted that India is growing rapidly, and the electricity demand is increasing at a fast pace. However, if the round-the-clock renewable energy works out as planned, the need for thermal power capacity addition may be avoided. R K Singh revealed that India will soon launch a pilot project to produce 100 MW of round-the-clock power using green hydrogen as storage. He stated that India aims to become the largest producer and exporter of green hydrogen and ammonia globally, leveraging its substantial manufacturing capacity for green hydrogen. Singh emphasized that green hydrogen storage is cheaper than gas and battery energy storage, making it a viable option for future growth. Singh's plans to add more thermal capacity to meet rising demand assume significance in light of India's ambitious target of having 500 GW of renewables by 2030. Currently, India has 178 GW of renewable energy capacity, including 47 GW of large hydro, 71 GW of solar, and 44 GW of wind energy. Singh also mentioned the government's initiative to provide carbon credit facilities for green hydrogen, benefiting the industry. India has increased its use of coal to generate electricity due to lower hydroelectricity output and a struggle to keep pace with record power demand. In August, power generation surged to a record 162.7 billion kilowatt hours, with coal's share in power output rising to 66.7%, the highest in six years. The government has defended the use of coal, citing lower per capita emissions compared to richer nations and rising renewable energy output. Despite higher demand for coal, power plants in India have slashed imports by 24% to 17.85 million metric tons during the first four months of the fiscal year. This is due to a 10.7% increase in production by state-run Coal India. Lower imports have kept global thermal coal prices depressed. The higher power use in India is attributed to farmers using more electricity for irrigation, intermittency of renewables, and increased cooling demand. India's peak electricity demand reached a record 243.9 gigawatts on August 31, exceeding available capacity by 7.3 gigawatts. In August, electricity supply fell short of demand by 780 million units, marking the highest shortage since April 2022. The shortage is attributed to poor monsoon, high agricultural demand, and the fall of wind generation. Weather officials expect country-wide rainfall in September to provide some respite. Coal's share in India's power output rose to 74.2% in the eight months ending in August, on track for a third consecutive annual increase. In contrast, the share of hydro power fell from 10.9% to 9.2%. Overall power generation has risen significantly, dwarfing the increase in renewable generation. India failed to achieve its target of installing 175 GW in renewable energy by 2022 and aims to boost non-fossil capacity to 500 GW by 2030. Prime Minister Narendra Modi has emphasized the importance of diversity in the energy mix, stating that there is no one-size-fits-all solution for transitioning from fossil fuels to cleaner sources like solar and hydrogen. India, the world's third-largest energy consumer, believes that each nation should have the freedom to decide its energy transition pathway based on resource availability. Prime Minister Modi highlighted India's progress in renewable energy, including a 20-fold increase in solar energy capacity, ranking among the top four nations in wind energy, and leading in innovation and adoption of electric vehicles. India has achieved its climate targets nine years ahead of schedule and has set ambitious goals to reduce emissions intensity, achieve net zero by 2070, and generate 50% of electricity from non-fossil fuel sources by 2030. India has been advocating for a just, orderly, and sustainable energy transition that meets the energy needs of its growing economy. The country seeks access to technology and financing for renewable energy sources like wind, solar, and lithium-ion batteries. Prime Minister Modi believes in altering the approach to fighting climate change from a restrictive to a constructive one, focusing on empowering nations with resources and support. India has increased its use of coal to generate electricity due to lower hydroelectricity output and a struggle to keep pace with record power demand. In August, power generation surged to a record 162.7 billion kilowatt hours, with coal's share in power output rising to 66.7%, the highest in six years. The government has defended the use of coal, citing lower per capita emissions compared to richer nations and rising renewable energy output. Despite higher demand for coal, power plants in India have slashed imports by 24% to 17.85 million metric tons during the first four months of the fiscal year. This is due to a 10.7% increase in production by state-run Coal India. Lower imports have kept global thermal coal prices depressed. The higher power use in India is attributed to farmers using more electricity for irrigation, intermittency of renewables, and increased cooling demand. India's peak electricity demand reached a record 243.9 gigawatts on August 31, exceeding available capacity by 7.3 gigawatts. In August, electricity supply fell short of demand by 780 million units, marking the highest shortage since April 2022. The shortage is attributed to poor monsoon, high agricultural demand, and the fall of wind generation. Weather officials expect country-wide rainfall in September to provide some respite. Coal's share in India's power output rose to 74.2% in the eight months ending in August, compared to 72.9% in the same period last year. This is on track for a third consecutive annual increase. In contrast, the share of hydro power fell from 10.9% to 9.2%. Overall power generation has risen significantly, with renewable generation increasing by only 16 billion units compared to over 108 billion units increase in total power generation this year. India failed to achieve its target of installing 175 GW in renewable energy by 2022. The country now aims to boost non-fossil capacity, including solar, wind, nuclear, hydro, and bio-power, to 500 GW by 2030. Achieving this target would require over 43 GW more of non-fossil capacity every year, nearly three times the average non-fossil capacity addition over the last two years. India's solar module imports from China have reduced nearly 80% by $2 billion in the first half of 2023, according to Chinese export figures collated by energy think tank Ember. The total solar module imports declined 76% to 2.3 GW between January and June 2023 from 9.8 GW in a similar period from a year ago. This reduction in imports is part of India's efforts to wean away from export dependence and build its domestic manufacturing capabilities. The Indian government has imposed a basic customs duty of 40% on solar modules, which came into effect in April last year. Additionally, the government has allocated 48.4 GW of capacity in two tranches of the production-linked incentive scheme with Rs 18,500 crore in support. These measures aim to shift India's focus from imports to building and utilizing domestic manufacturing capacity. India aims to increase its solar module manufacturing capacity to 110 GW per year by 2026, according to the report by Ember. The country plans to have an installed capacity of 500 GW of renewable energy by 2030, with 280 GW coming from solar. Despite the reduction in imports, India remains the second largest importer of solar cells from China.| Former Reserve Bank of India Governor C Rangarajan hails India's ascent to become the world's fifth-largest economy . Urged India to accelerate its economic growth to improve the per capita income of the nation .
Informatica|Amit Walia, CEO of US tech firm Informatica, shares his journey from being a shy introvert to becoming a successful business leader. He emphasizes the importance of diversity, finding people who complement your weaknesses, seizing opportunities, and appointing experienced staff. Japan joins the race to the Moon with a successful rocket launch. This marks a significant milestone in Japan's space exploration efforts and demonstrates their technological capabilities in the field. The successful launch opens up new possibilities for Japan's involvement in future lunar missions. The Rolling Stones confirm the release of their first original album in over a decade. This announcement is highly anticipated by fans and the music industry alike. The album release signifies the band's continued relevance and creativity in the music industry.| Japan joins the race to the Moon with a successful rocket launch . The Rolling Stones confirm the release of their first original album in over a decade . The album release signifies the band's continued relevance in the music industry .
Integral Ad Science (IAS)|Lisa Utzschneider, CEO of Integral Ad Science (IAS), explains how her 700-person workforce transitioned to remote work during the pandemic. The company implemented a hat-wearing custom to foster team spirit and unity among employees working from home. This transition presented challenges for Utzschneider, including pivoting company culture, floating the company on the stock exchange, and balancing work and parenting responsibilities. IAS, a company that specializes in verifying genuine audience engagement and reputation management in online advertising, works with major brands like Nestle and Coca Cola. With the shift in marketing budgets towards social media content, there has been a significant increase in spending on digital advertising. IAS ensures that video advertisements on social media platforms are effectively targeted and do not appear next to inappropriate or controversial content. Digital platforms like YouTube have recognized the need for third-party verification to build trust with advertisers. IAS acts as a neutral observer, inspecting the services offered by social media platforms to ensure transparency and brand safety. Advertisers, who invest significant amounts of money on these platforms, rely on third-party verification to ensure a return on their investment.| Integral Ad Science (IAS) specializes in verifying genuine audience engagement and reputation management in online advertising . The company implemented a hat-wearing custom to foster team spirit and unity among employees working from home .
Investcorp|Global investment manager Investcorp announced the sale of its stake in luggage maker Safari Industries. The company realized a total return of Rs 285 crore at a 3.8X multiple on invested capital (MOIC) and achieved an internal rate of return (IRR) of 102%. Investcorp made partial exits in three tranches, with the final one occurring in February 2023. Investcorp has made investments in various mid-market companies across consumption-linked sectors and the real estate business. Some of its notable investments in the past four years include V-Ensure, NDR Warehousing, Intergrow Brands, Bewakoof.com, Freshtohome, Zolo, InCred, and Safari Industries. In September 2022, Investcorp announced its exit from ASG Eye Hospital. The sale of its shareholding was part of a growth capital funding round worth Rs 15 billion.| Investcorp has made investments in various mid-market companies across consumption-linked sectors and the real estate business . The company realized a total return of Rs 285 crore at a 3.8X multiple on invested capital (MOIC)
JPMorgan Chase|JPMorgan Chase is planning to offer digital payroll processing to small business customers. The bank has partnered with San Francisco-based fintech player Gusto to provide the underlying technology for the feature. The service will disburse salaries, generate tax documents and pay stubs, and file to local and national agencies. JPMorgan, the largest U.S. bank by assets, has invested billions of dollars in technology to compete with fintech players like PayPal and Square. The bank has previously rolled out fintech features, including a Square-like credit card reader for small businesses and early direct deposit for consumers. The partnership with Gusto for payroll services is part of JPMorgan's strategy to offer a comprehensive range of services to retain retail and business customers. JPMorgan decided to partner with Gusto for payroll services instead of building its own solution due to the complexities involved. Payroll services have nuances in individual states, cities, and counties, making it difficult to crack the sector. By using Gusto's technology, JPMorgan aims to speed up its time to market for the payroll service, which is expected to go live by the end of 2024.| JPMorgan Chase is planning to offer digital payroll processing to small business customers . The bank has partnered with San Francisco-based fintech player Gusto to provide the underlying technology for the feature . The service will disburse salaries, generate tax documents and file to local and national agencies .
Jet Airways|Naresh Goyal, the founder of Jet Airways, was arrested by the Enforcement Directorate on Friday evening in an alleged money-laundering case. This arrest marks a significant downfall for Goyal, who was once a prominent figure in India's aviation industry. The arrest comes after a criminal complaint against Goyal by Canara Bank. One of the mistakes made by Naresh Goyal was the acquisition of rival airline Air Sahara in 2007. This deal caused numerous financial, legal, and human resource-related problems for Jet Airways. The acquisition reduced Jet's ability to compete effectively with other airlines and wasted IPO funds that could have been used for other purposes. Another mistake made by Naresh Goyal was the decision to buy a mixed fleet of wide-bodied Airbus A330 and Boeing 777 planes. This impractical decision increased the cost of resources and resulted in a lower seating capacity compared to the global standard. Goyal's insistence on retaining first-class seats that were not earning anything further added to the airline's financial troubles.| Naresh Goyal was arrested by the Enforcement Directorate on Friday evening in an alleged money-laundering case . This arrest marks a significant downfall for Goyal, who was once a prominent figure in India's aviation industry . The arrest comes after a criminal complaint by Canara Bank .
Kroger|Kroger posted fiscal second-quarter sales that fell short of Wall Street's expectations. The company reported a net loss of $180 million, compared to a gain of $731 million in the year-ago period. One factor contributing to the loss was the company's settlement of the majority of claims related to the opioid crisis, resulting in a $1.4 billion charge. The slowdown in inflation has had mixed effects on retailers. While higher prices have contributed to overall sales, it has also led to a decline in the volume of merchandise sold. Kroger, which primarily sells groceries, has been less affected by the decline in discretionary merchandise. However, there is a risk that customers may turn to retailers known for lower food prices, such as Walmart, Aldi, or Dollar General. Kroger reaffirmed its full-year guidance but expects lower sales in the back half of the year. The company expects identical sales, excluding fuel, to range between 1% and 2%. However, Chief Financial Officer Gary Millerchip stated that the company expects sales to be at the low end of the range and slightly negative in the second half of the year due to decelerating inflation and a tougher consumer backdrop. Kroger CEO Rodney McMullen mentioned that as inflation slows, the company is starting to see some volume improvement. He also noted that consumer packaged goods companies have become more willing to work with Kroger on pricing. The company has been catering to budget-minded customers with lower-priced items, personalized discounts, fuel rewards, and weekly specials. Kroger announced a deal to divest more than 400 stores and eight distribution centers to C S Wholesale Grocers as part of its effort to complete the merger with Albertsons. The approximately $1.9 billion deal will help Kroger stay on track to complete the merger early next year. The grocery merger is currently under scrutiny from antitrust officials in Washington D.C. Kroger has agreed to pay $1.2 billion to U.S. states, local governments, and Native American tribes to settle claims that it fueled the opioid epidemic through lax oversight of its pill sales. The settlement allows for the full resolution of all claims on behalf of those parties. Kroger stated that the settlement is not an admission of wrongdoing or liability and that it will continue to defend against any other claims and lawsuits relating to opioids. Kroger posted a net loss for the second quarter as it took a $1.4 billion charge related to the opioid settlements and associated legal fees. The company will pay $1.2 billion to U.S. states and local governments and $36 million to Native American tribes over 11 years. The settlement is part of the ongoing efforts by state and local governments to hold drug companies and wholesalers accountable for their role in the opioid epidemic. Several retail pharmacy chains, including Walgreens, CVS, and Walmart, have announced nationwide settlement agreements related to the opioid epidemic. In November, Walgreens agreed to pay $4.95 billion, CVS agreed to pay $5 billion, and Walmart finalized a $3.1 billion settlement. These settlements aim to resolve all opioid-related claims from U.S. states, local governments, and tribes. Rite Aid, however, has not reached a nationwide settlement and is reportedly preparing to file for bankruptcy.| Kroger posted fiscal second-quarter sales that fell short of Wall Street's expectations . The company reported a net loss of $180 million, compared to a gain of $731 million in the year-ago period . One factor contributing to the loss was the company's settlement of the majority of claims related to the opioid crisis, resulting in a $1.4 billion charge .
Kumba Iron Ore|Mpumi Zikalala, CEO of Kumba Iron Ore, part of the Anglo American mining group, explains in a video interview why inspiring staff is beneficial to business. She highlights the importance of creating a positive work environment and empowering employees to contribute their ideas and expertise. In a video interview, the CEO of Hard Rock shares a personal experience and emphasizes the role of a CEO in getting out of the way of their employees. He highlights the importance of trusting and empowering the team to make decisions and drive success. A business owner shares their decision-making process in choosing the location for their business. They explain that after comparing prices in London and Leeds, they opted for the latter due to more favorable costs. This decision showcases the impact of financial considerations on business location choices.| Mpumi Zikalala, CEO of Kumba Iron Ore, explains why inspiring staff is beneficial to business . Hard Rock CEO highlights the role of a CEO in getting out of the way of their employees . Business owner shares their decision-making process in choosing the location for their business .
Lion Air|Passengers of a Jeddah-bound flight of Indonesia-based Lion Air were stranded at Thiruvananthapuram International airport for around 24 hours after a technical issue was found in the aircraft during refuelling. The flight, JT052, with 212 passengers, landed at the airport at 3 pm on Tuesday and the issue was spotted. Passengers were provided food and facilities to rest in the security holding area until an alternative aircraft arrived on Wednesday afternoon to take them onward to Jeddah. An alternative aircraft of Lion Air arrived from Indonesia on Wednesday afternoon to take the stranded passengers of flight JT052 onward to Jeddah in Saudi Arabia. The passengers had been stranded at Thiruvananthapuram International airport for around 24 hours due to a technical issue in the original aircraft. They were provided with food and facilities to rest in the security holding area until the arrival of the alternative aircraft. After the technical fault was identified in the Lion Air flight JT052, the aircraft underwent temporary repairs at Thiruvananthapuram International airport. Once the repairs were completed, the aircraft was flown back empty to Indonesia. The passengers were then transferred to an alternative aircraft that arrived from Indonesia to continue their journey to Jeddah.| Flight JT052 landed at Thiruvananthapuram International airport at 3 pm on Tuesday . A technical issue was found in the aircraft during refuelling . Passengers were provided with food and facilities to rest in the security holding area . Alternative aircraft arrived from Indonesia on Wednesday afternoon to take them onward to Jeddah .
Lululemon|Lululemon, an athletic retailer known for its higher-end products, reported an 18% jump in revenue for the second quarter and an 11% increase in sales. The company attributes its success to new customers, as well as its ability to retain existing customers and increase their spending. Lululemon also raised its expectations for net revenue for the rest of 2023. Dollar General, a discount store, issued a lower sales and profit outlook for the year, citing weaker consumer spending and increasing theft. The company's CEO mentioned that core customers feel financially constrained, possibly due to higher costs of living and cuts in SNAP payments. Lower-income shoppers are cutting back on non-consumable and indulgent purchases to save money. The United States experienced high inflation, with the inflation rate peaking at over 9% in June 2022, the highest level in over 40 years. Although inflation has fallen since then, it remains elevated. The increase in prices has led to higher expenses for American households, with one estimate suggesting that the typical household spent $709 more in July 2022 compared to July 2021 for the same goods and services. Despite the impact of inflation, retail spending has held up surprisingly well, supported by a strong labor market. Retail analyst Brian Nagel believes that consumers are still willing to spend on innovative products from brands like Lululemon. While lower-income households may be more affected by inflation, overall consumer spending has not drastically declined.| Lululemon reported an 18% jump in revenue for the second quarter . Dollar General issued a lower sales and profit outlook for the year . Lower-income shoppers are cutting back on non-consumable and indulgent purchases to save money .
Mahindra & Mahindra|Mahindra and Mahindra is in advanced talks with Volkswagen to use key electric components from Volkswagen's open platform for electric vehicles called MEB. Mahindra plans to use central MEB components such as the e-drive and unit cells for its own models. This collaboration allows Volkswagen to be a supplier of electric technology and parts to other automakers. Volkswagen is in talks with other players, particularly manufacturers of cars with combustion engines in Asia, about similar deals to adopt Volkswagen technology. These potential collaborations aim to produce cars for the European market. However, the details of these discussions have not been finalized. Mahindra has outlined a capital expenditure of close to Rs 10,000 crore in its EV subsidiaries between FY22 and FY27. Out of this, Rs 4,000 crore will be invested between FY22 and FY24. The company aims to launch five new EV models between April and October 2025 and expects its EV production to reach a peak of 2 lakh units per annum between 2027 and 2029.| Mahindra plans to use central MEB components such as the e-drive and unit cells for its own models . Volkswagen is in talks with other players, particularly manufacturers of cars with combustion engines in Asia, about similar deals to adopt Volkswagen technology .
Mattel|Ynon Kreiz, CEO of Mattel, aspires to create a Mattel universe similar to the success of the Marvel universe. This strategy is being implemented through the upcoming Barbie movie, which Kreiz began working on in 2018. The movie features Margot Robbie and Ryan Gosling as Barbie and Ken, with Greta Gerwig directing. Barbie, Mattel's biggest-selling brand, has faced criticism in the past for promoting unhealthy body image and reinforcing stereotypes. However, Mattel has learned from these issues and now focuses on diversity and inclusivity. Barbie now offers dolls with different body shapes, skin colors, and disabilities, reflecting the changing times and promoting exploration of different potentials. Mattel is restructuring its company to adapt to the changing times and move away from gender-specific products. The company aims to position itself as a talent magnet, collaborating with film directors and other creative individuals to bring new ideas to its well-known creations. Mattel recognizes that its customers are not just consumers but fans with emotional connections to their products. Mattel has unveiled the Barbie Women in Sports dolls as part of its 2023 Barbie Career of the Year-themed dolls. The dolls are dressed to represent four sports-related careers and aim to encourage girls to pursue involvement in sports. The new dolls include General Manager Barbie, Coach Barbie, Referee Barbie, and Sports Reporter Barbie. Mattel has partnered with Voice In Sport, an advocacy organization, to hold a virtual mentoring session on September 12. The session aims to inspire girls and women to be involved in sports or sports careers. The session will feature Jen Welter, the first female coach in the NFL. Mattel continues its efforts to embrace a more inclusive approach to its iconic Barbie doll. Over the years, Barbie has faced criticism for unrealistic body proportions. In response, Mattel has introduced more diverse and inclusive dolls, including different body types, skin tones, eye colors, and hairstyles. The company's ongoing evolution of Barbie's representation aims to address these concerns.| Ynon Kreiz, CEO of Mattel, aspires to create a Mattel universe similar to the success of the Marvel universe . This strategy is being implemented through the upcoming Barbie movie, which features Margot Robbie and Ryan Gosling as Barbie and Ken, with Greta Gerwig directing .
